ID,item_cnt_month
0,0.5713114
1,0.14590979
2,0.8842118
3,0.1694588
4,0.14590979
5,0.5370081
6,1.061913
7,0.16293609
8,1.1371944
9,0.14590979
10,3.1860154
11,0.23889169
12,0.11591056
13,0.47990662
14,1.8552608
15,2.9041038
16,0.14590979
17,0.10221326
18,1.5557551
19,0.07468891
20,0.8742159
21,0.14590979
22,0.9738175
23,0.93799585
24,1.5440972
25,0.14590979
26,0.14590979
27,0.5782515
28,0.9099238
29,3.2762785
30,0.5273942
31,0.14590979
32,0.5285826
33,0.68376815
34,0.11531764
35,0.11644122
36,0.109329015
37,0.60161304
38,0.2208157
39,0.12338534
40,0.62184817
41,1.1463654
42,3.6722717
43,3.6098206
44,0.39804387
45,0.14590979
46,0.93595135
47,0.23067477
48,0.26425588
49,1.1236336
50,1.5864115
51,0.23889169
52,0.6265782
53,0.16296926
54,5.880176
55,2.7493277
56,2.7255485
57,2.5199604
58,5.060471
59,3.7975612
60,4.643968
61,0.57205385
62,0.38902414
63,0.35640582
64,0.14590979
65,0.14590979
66,0.84691995
67,0.11773804
68,0.39804387
69,0.15709338
70,0.14590979
71,1.8180995
72,0.4891683
73,1.2940776
74,0.14590979
75,0.14590979
76,0.3484051
77,0.14590979
78,0.42560318
79,0.6559242
80,1.0149186
81,3.4793992
82,0.9058759
83,0.22654428
84,1.0818272
85,1.3748035
86,0.7962629
87,0.09201807
88,3.935363
89,1.5934222
90,0.8435072
91,0.4141614
92,2.6043036
93,0.1694588
94,0.28204745
95,0.09831363
96,0.11773804
97,0.5508803
98,0.68967474
99,1.8738089
100,0.7465487
101,0.72242045
102,0.2587283
103,0.4141614
104,0.09530148
105,0.14590979
106,0.14590979
107,0.81918883
108,0.09452388
109,0.14590979
110,0.21264529
111,0.14590979
112,0.14590979
113,0.14590979
114,0.3025459
115,0.2740385
116,0.14590979
117,0.10481143
118,12.679652
119,0.11674824
120,0.07937157
121,0.09796247
122,0.38125497
123,0.6532004
124,0.6126957
125,1.2352607
126,0.14590979
127,0.099766105
128,0.14590979
129,0.25399494
130,0.4141614
131,0.14590979
132,0.4141614
133,3.019835
134,0.09055093
135,0.4141614
136,0.23889169
137,0.14590979
138,0.979912
139,0.14590979
140,0.2406556
141,0.48391464
142,0.11888379
143,0.23889169
144,0.14590979
145,0.14590979
146,0.14590979
147,0.15226477
148,0.14590979
149,0.14590979
150,0.12716296
151,0.14590979
152,5.9664173
153,0.2757761
154,0.14590979
155,0.28115976
156,0.29035908
157,0.11551252
158,0.1812256
159,0.38533378
160,0.14590979
161,0.23889169
162,0.14590979
163,0.5270127
164,0.4955004
165,0.14867198
166,0.5460305
167,0.11913729
168,0.14590979
169,0.11708036
170,0.23889169
171,0.66485155
172,0.3496317
173,1.3228803
174,1.5290496
175,2.6646702
176,1.2880872
177,0.14590979
178,0.42984667
179,0.121405125
180,1.0644805
181,0.35667866
182,0.14590979
183,0.16017509
184,0.20321774
185,0.14590979
186,0.11181235
187,0.25821993
188,0.14590979
189,0.14590979
190,0.14590979
191,0.81112415
192,0.62184817
193,0.16691357
194,0.11551252
195,0.13973835
196,0.4141614
197,2.7545962
198,1.3673857
199,0.14590979
200,0.14590979
201,0.14590979
202,0.1797187
203,1.4324968
204,0.14248025
205,0.14590979
206,0.14590979
207,0.11538786
208,1.4153374
209,0.55629116
210,0.23947102
211,0.12002629
212,0.10595819
213,0.4141614
214,0.11436057
215,0.7557684
216,0.45638254
217,0.27946246
218,2.0618324
219,0.4997844
220,0.4497536
221,0.14590979
222,0.14590979
223,0.79334354
224,2.801651
225,0.42523488
226,0.3671401
227,0.14590979
228,0.22962631
229,0.14590979
230,0.14590979
231,0.47402844
232,0.14590979
233,0.34800732
234,0.14590979
235,0.16711426
236,0.29970682
237,0.47024214
238,0.4141614
239,0.30841076
240,0.79770964
241,0.07861298
242,0.14590979
243,0.14590979
244,0.14590979
245,0.23745297
246,1.7695222
247,0.5879215
